"sampleSize","swStrAlpha","cStrAlpha","foulAlpha","ballAlpha","inPlayAlpha","hbpAlpha"
10,0.0871104414544733,3.03042327278982e-05,0.0249527573455199,0.0203689623142725,0.0543125675339638,0.0196093145406216
20,0.146239082733853,0.0387812564365276,0.0692996829108797,0.0536370367242571,0.048288494282614,0.029809060098906
30,0.198119240830616,0.0675421596165473,0.055019965696096,0.0770170225971936,0.0926605199003594,-0.000171234160263055
40,0.217335297883885,0.0380798534400369,0.101157166160801,0.0705251436478167,0.0964171741752629,0.0519100791856737
50,0.264413683391155,0.0819812012857567,0.128778819955217,0.120326472730364,0.0989312570058532,0.0155863394255601
60,0.280301683103297,0.0852385923176282,0.170193867030674,0.135296350206594,0.125409194265033,0.00786540608865694
70,0.315586071002224,0.115880210188716,0.15187950259361,0.137639614146682,0.140348206912635,0.0199259946868344
80,0.373559567754805,0.13310835862718,0.198972645743964,0.170488004049282,0.20021071610139,0.0390290479283777
90,0.383490540484591,0.124833877259513,0.212086537110535,0.191694035683516,0.220725773652721,0.0437823786611416
100,0.394441932278011,0.166868250649938,0.223346927719101,0.213466597787561,0.229757869289297,0.0654723525283157
110,0.423762809444128,0.165665473133175,0.22885353218365,0.192925978195119,0.259457784898818,0.0281993180743226
120,0.450622363000635,0.181411697475394,0.253522989646267,0.229690893516442,0.253278705307466,0.0467382763350773
130,0.471424204363104,0.182163255148108,0.258566386322921,0.247660254454014,0.295772446399102,0.0378211149685177
140,0.483863475718024,0.198937420084766,0.283798242095999,0.245572262509106,0.282721572279214,0.0535966232078353
150,0.505938281872509,0.21687534337348,0.282165278728438,0.263088261950673,0.313246322263602,0.0593745038973936
160,0.514036714443996,0.224978392020378,0.294133303808242,0.259233635688818,0.316490847135778,0.0631251869277449
170,0.526792334614417,0.261878067752684,0.308616569094628,0.286807175178665,0.35723771055681,0.0702321133433658
180,0.543559425352442,0.262063241547082,0.311328558925312,0.270738750113529,0.366956450374716,0.0612336127852215
190,0.558189696261989,0.252270518764671,0.337886628390874,0.313179461345709,0.371301491779848,0.028529589911218
200,0.574313246699365,0.286385931571973,0.334411831717918,0.316847321536543,0.392571591670913,0.0681393541260865
210,0.584857986879275,0.280717349057961,0.360508749765428,0.322268864433455,0.392605015064847,0.0581954898259009
220,0.611428569729564,0.295966345306877,0.361963499283918,0.3247505870828,0.413389127317337,0.0351901880328878
230,0.611658384090715,0.300962719365214,0.367188347972944,0.340326942640046,0.425650940437543,0.0499902229459116
240,0.611228918922629,0.326415153972713,0.386765604007517,0.337395267763912,0.427903977530392,0.0610641277897198
250,0.619957688957437,0.337342810629297,0.39305579780194,0.363705494880726,0.433884609559677,0.100566213720313
260,0.633092856385952,0.328353255649333,0.38707869711864,0.358322696574026,0.442944075316085,0.0697929154346357
270,0.645615789584156,0.326184290554005,0.423405346905595,0.389645550236637,0.472491650442094,0.0745420616670109
280,0.655910012834224,0.34867441728053,0.413747230363781,0.380661839366391,0.471309831146541,0.0923778343705102
290,0.661705150238441,0.362378217024488,0.423493327118328,0.402981270277286,0.486222615245956,0.0782288660106975
300,0.670827609487092,0.369787532296707,0.438241036266886,0.402355580454076,0.499031399742765,0.0988962609259722
310,0.680138197206981,0.377683804182771,0.437095563417288,0.42786775295426,0.494345374272862,0.0896319272134802
320,0.692133536337081,0.386860193933116,0.461812087691597,0.418204784168346,0.515219178722891,0.0966023235342108
330,0.692500775550335,0.390639204673789,0.45896597180215,0.44067608006915,0.506856559690728,0.106064750841877
340,0.697767071197469,0.404138660494918,0.471640008624001,0.435506910729977,0.525525864274366,0.10125347052185
350,0.699492586939027,0.420261873494563,0.465079107283793,0.446419126825091,0.528381645699013,0.0847107960675341
